KEY_FLT,STATUS,ssim_period,index_commercial,ST_SSIM,Airline,Flight_Number,Itinirary_Variation_Indicator,Leg_Sequence_Number,Service_Type,Start_period,End_period,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Departure_Station,PAX_STD_UTC,STD_UTC,STD_Variation_Sign,STD_Variation_UTC,Arrival_Station,STA_UTC,PAX_STA_UTC,STA_Variation_Sign,STA_Variation_UTC,Aircraft_Type,fly_next_number,Aircraft_Configuration,fly_date,arrival_date,vol_commercial_number,vol_commercial_airline,code_ssim,day_op,ch_type_app,ch_std,ch_dest,ch_config
0104216053BJA,CANCELED,01MAR2128FEB22,3, ,AH,6053,01,01,J,04MAR21,27MAY21, , , ,4, , , ,BJA,1355,1355,+,0100,ALG,1440,1440,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,,,,
0104216056ALG,CANCELED,01MAR2128FEB22,3, ,AH,6056,06,01,J,25MAR21,27MAY21, , , ,4, , , ,ALG,0925,0925,+,0100,GJL,1015,1015,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,,,,
0104216057GJL,CANCELED,01MAR2128FEB22,3, ,AH,6057,06,01,J,25MAR21,27MAY21, , , ,4, , , ,GJL,1105,1105,+,0100,ALG,1155,1155,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,,,,
0104216070ALG,CANCELED,01MAR2128FEB22,3, ,AH,6070,06,01,J,01APR21,27MAY21, , , ,4, , , ,ALG,1145,1145,+,0100,LOO,1255,1255,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,,,,
0104216071LOO,CANCELED,01MAR2128FEB22,3, ,AH,6071,06,01,J,01APR21,27MAY21, , , ,4, , , ,LOO,1345,1345,+,0100,ALG,1450,1450,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,,,,
0104216106ALG,CANCELED,01MAR2128FEB22,3, ,AH,6106,01,01,J,01MAR21,31MAY21,1, , ,4, ,6, ,ALG,1830,1840,+,0100,ORN,1930,1930,+,0100,73H,       ,F16Y132             ,2021-04-01,2021-04-01,,,,4.0,,15MAR2114MAR22,,
0104216107ORN,MODIFIED,01MAR2128FEB22,3, ,AH,6107,08,01,J,01APR21,07APR21,1,2,3,4, ,6, ,ORN,0700,0645,+,0100,ALG,0800,0800,+,0100,73H,       ,F16Y132             ,2021-04-01,2021-04-01,,,,4.0,,28MAR2127MAR22,,
0104216132ALG,CANCELED,01MAR2128FEB22,3, ,AH,6132,06,01,J,01APR21,27MAY21, , , ,4, , , ,ALG,1000,1000,+,0100,CBH,1215,1215,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,,,,
0104216133CBH,CANCELED,01MAR2128FEB22,3, ,AH,6133,06,01,J,01APR21,27MAY21, , , ,4, , , ,CBH,1305,1305,+,0100,ALG,1505,1505,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,,,,
0104216141AZR,,01MAR2128FEB22,3, ,AH,6141,03,01,J,04MAR21,27MAY21, , , ,4, , , ,AZR,0700,0700,+,0100,ALG,0950,0950,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,,,,
