STATUS,ssim_period,index_commercial,ST_SSIM,Airline,Flight_Number,Itinirary_Variation_Indicator,Leg_Sequence_Number,Service_Type,Start_period,End_period,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Departure_Station,PAX_STD_UTC,STD_UTC,STD_Variation_Sign,STD_Variation_UTC,Arrival_Station,STA_UTC,PAX_STA_UTC,STA_Variation_Sign,STA_Variation_UTC,Aircraft_Type,fly_next_number,Aircraft_Configuration,fly_date,arrival_date,vol_commercial_number,vol_commercial_airline,code_ssim,day_op,KEY_FLT
,02MAR2101MAR22,3, ,AH,6057,03,01,J,06MAR21,29MAY21, , , , , ,6, ,GJL,1545,1545,+,0100,ALG,1640,1640,+,0100,736,       ,F16Y85              ,2021-05-01,2021-05-01,,,,6.0,0105216057GJL
,02MAR2101MAR22,3, ,AH,6070,03,01,J,06MAR21,29MAY21, , , , , ,6, ,ALG,0940,0940,+,0100,LOO,1050,1050,+,0100,AT7,       ,Y66                 ,2021-05-01,2021-05-01,,,,6.0,0105216070ALG
,02MAR2101MAR22,3, ,AH,6071,03,01,J,06MAR21,29MAY21, , , , , ,6, ,LOO,1140,1140,+,0100,ALG,1245,1245,+,0100,AT7,       ,Y66                 ,2021-05-01,2021-05-01,,,,6.0,0105216071LOO
,02MAR2101MAR22,3, ,AH,6106,02,01,J,04MAR21,31MAY21,1, , ,4, ,6, ,ALG,1830,1830,+,0100,ORN,1930,1930,+,0100,73H,       ,F16Y132             ,2021-05-01,2021-05-01,,,,6.0,0105216106ALG
,02MAR2101MAR22,3, ,AH,6107,02,01,J,03MAR21,01JUN21,1,2,3, , ,6, ,ORN,0700,0700,+,0100,ALG,0800,0800,+,0100,73H,       ,F16Y132             ,2021-05-01,2021-05-01,,,,6.0,0105216107ORN
,02MAR2101MAR22,3, ,AH,6132,02,01,J,06MAR21,29MAY21, , , , , ,6, ,ALG,0900,0900,+,0100,CBH,1115,1115,+,0100,AT7,       ,Y66                 ,2021-05-01,2021-05-01,,,,6.0,0105216132ALG
,02MAR2101MAR22,3, ,AH,6133,02,01,J,06MAR21,29MAY21, , , , , ,6, ,CBH,1205,1205,+,0100,ALG,1405,1405,+,0100,AT7,       ,Y66                 ,2021-05-01,2021-05-01,,,,6.0,0105216133CBH
,02MAR2101MAR22,3, ,AH,6141,03,01,J,06MAR21,29MAY21, , , , , ,6, ,AZR,0700,0700,+,0100,ALG,0950,0950,+,0100,AT7,       ,Y66                 ,2021-05-01,2021-05-01,,,,6.0,0105216141AZR
,02MAR2101MAR22,3, ,AH,6142,02,01,J,06MAR21,29MAY21, , , , , ,6, ,ALG,0920,0920,+,0100,AZR,1110,1110,+,0100,736,       ,F16Y86              ,2021-05-01,2021-05-01,,,,6.0,0105216142ALG
,02MAR2101MAR22,3, ,AH,6143,02,01,J,06MAR21,29MAY21, , , , , ,6, ,AZR,1210,1210,+,0100,ALG,1400,1400,+,0100,736,       ,F16Y86              ,2021-05-01,2021-05-01,,,,6.0,0105216143AZR
,02MAR2101MAR22,3, ,AH,6146,03,01,J,06MAR21,29MAY21, , , , , ,6, ,ALG,1140,1140,+,0100,TIN,1410,1410,+,0100,73H,       ,F16Y132             ,2021-05-01,2021-05-01,,,,6.0,0105216146ALG
,02MAR2101MAR22,3, ,AH,6147,03,01,J,06MAR21,29MAY21, , , , , ,6, ,TIN,1510,1510,+,0100,ALG,1730,1730,+,0100,73H,       ,F16Y132             ,2021-05-01,2021-05-01,,,,6.0,0105216147TIN
,02MAR2101MAR22,3, ,AH,6156,02,01,J,06MAR21,29MAY21, , , , , ,6, ,ALG,0930,0930,+,0100,TMX,1100,1100,+,0100,73H,       ,F16Y132             ,2021-05-01,2021-05-01,,,,6.0,0105216156ALG
,02MAR2101MAR22,3, ,AH,6157,02,01,J,06MAR21,29MAY21, , , , , ,6, ,TMX,1200,1200,+,0100,ALG,1330,1330,+,0100,73H,       ,F16Y132             ,2021-05-01,2021-05-01,,,,6.0,0105216157TMX
,02MAR2101MAR22,3, ,AH,6164,04,01,J,13MAR21,29MAY21, , , , , ,6, ,AAE,1435,1435,+,0100,ORN,1600,1600,+,0100,73H,       ,F16Y132             ,2021-05-01,2021-05-01,,,,6.0,0105216164AAE
,02MAR2101MAR22,3, ,AH,6165,04,01,J,13MAR21,29MAY21, , , , , ,6, ,ORN,1220,1220,+,0100,AAE,1335,1335,+,0100,73H,       ,F16Y132             ,2021-05-01,2021-05-01,,,,6.0,0105216165ORN
,02MAR2101MAR22,3, ,AH,6170,11,01,J,03APR21,29MAY21, , , , , ,6, ,ALG,0715,0715,+,0100,AAE,0830,0830,+,0100,AT7,       ,Y66                 ,2021-05-01,2021-05-01,,,,6.0,0105216170ALG
,02MAR2101MAR22,3, ,AH,6171,13,01,J,03APR21,29MAY21, , , , , ,6, ,AAE,0920,0920,+,0100,ALG,1035,1035,+,0100,AT7,       ,Y66                 ,2021-05-01,2021-05-01,,,,6.0,0105216171AAE
,02MAR2101MAR22,3, ,AH,6176,08,01,J,20MAR21,30MAY21, , , , , ,6,7,ALG,1500,1500,+,0100,AAE,1615,1615,+,0100,AT7,       ,Y66                 ,2021-05-01,2021-05-01,,,,6.0,0105216176ALG
,02MAR2101MAR22,3, ,AH,6177,08,01,J,20MAR21,30MAY21, , , , , ,6,7,AAE,1705,1705,+,0100,ALG,1825,1825,+,0100,AT7,       ,Y66                 ,2021-05-01,2021-05-01,,,,6.0,0105216177AAE
